type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-10-23T00:07,2022-10-23T07:48,461,31.538611713665944,NaN,NaN,NaN,NaN
IDT,2022-10-24T01:36:30,2022-10-24T09:09,451,31.311529933481154,NaN,NaN,NaN,NaN
IDT,2022-10-25T00:43,2022-10-25T08:36,472,31.05042372881356,-123.24212860310581,951.3391997088911,0.2442915244682198,1.396963582585617
IDT,2022-10-26T00:55:30,2022-10-26T06:20:30,324,31.028395061728396,-49.4364932917415,224.2018730523996,0.24135757415993125,1.1964735349552995
IDT,2022-10-26T23:13:30,2022-10-27T07:13:30,474,30.660548523206753,-184.80084745762724,1106.9815257827286,0.3302368285082636,1.3112531420100826
IDT,2022-10-28T00:26:30,2022-10-28T07:15,408,30.761764705882353,-113.27903327056083,784.8148514183704,0.32921729555905843,1.3229922594705574
IDT,2022-10-28T23:59:30,2022-10-29T08:29,502,30.681872509960158,-173.9543209876556,1226.00413504045,0.3325491986587693,1.3721604792607616
IDT,2022-10-29T23:49,2022-10-30T08:13:30,504,30.880952380952383,-37.15555555555693,756.9563002155628,0.310975590054337,1.3482460114974368
IDT,2022-10-30T23:46,2022-10-31T05:13:30,328,31.898170731707317,285.2864197530871,993.1740893156966,0.42000963151297604,1.4105988576226491
IDT,2022-11-01T05:56,2022-11-01T09:03:30,74,26.095945945945946,-359.5458553791891,1774.3442178426048,1.6282249939340518,1.572922283387545
