timestamp,average_value,lower_bound,upper_bound
2022-10-22T00:00:00Z,94.1,92.0,95.5
2022-10-23T00:00:00Z,94.3,91.7,98.3
2022-10-24T00:00:00Z,94.2,92.7,95.7
2022-10-25T00:00:00Z,94.9,93.9,96.1
2022-10-26T00:00:00Z,93.8,92.7,95.6
2022-10-28T00:00:00Z,94.1,92.2,96.4
2022-10-30T00:00:00Z,94.3,91.9,96.6
2022-10-31T00:00:00Z,95.7,93.2,98.0
2022-11-02T00:00:00Z,93.1,81.6,97.1
2022-11-03T00:00:00Z,92.9,90.7,95.2
2022-11-04T00:00:00Z,95.0,93.4,96.6
2022-11-05T00:00:00Z,93.2,90.9,95.0
2022-11-06T00:00:00Z,95.3,92.0,98.8
